ID,Name,Gender,Species,,First Appearance,Nº of Dolls,Has pet,Hair color,Skullete,Silhouette
abbey-bominable,Abbey Bominable,Female,Yeti,,Webisodes,17,Yes,White / Pink / Purple / Blue,,
clawdeen-wolf,Clawdeen Wolf,Female,Werewolf,,Webisodes,41,Yes,Brown,,
cleo-de-nile,Cleo de Nile,Female,Mummy,,Webisodes,26,Yes,Brown / Gold,,
deuce-gorgon,Deuce Gorgon,Male,Gorgon,,Webisodes,8,Yes,Green,,
draculaura,Draculaura,Female,Vampire,,Webisodes,44,Yes,Black / Pink,,
frankie-stein,Frankie Stein,Female,Frankenmonster,,Webisodes,39,Yes,Black / White,,
ghoulia-yelps,Ghoulia Yelps,Female,Zombie,,Webisodes,21,Yes,Blue,,
lagoona-blue,Lagoona Blue,Female,Sea monster,,Webisodes,23,Yes,Blue / Yellow,,
amanita-nightshade,Amanita Nightshade,Female,Plant monster,,Webisodes,2,Yes,Purple,,
andy-beast,Andy Beast,Male,Beast monster,,Escape From Skull Shores,0,No,Purple,,
astranova,Astranova,Female,Comet Alien,,Boo York Boo York,1,No,Blue,,
avea-trotter,Avea Trotter,Female,Harpy / Centaur,,Freaky Fusion,1,No,Blue,,
batsy-claro,Batsy Claro,Female,White Vampire Bat,,Webisodes,1,No,White / Green,,
bonita-femur,Bonita Femur,Female,Skeleton / Moth,,Freaky Fusion,1,No,Yellow / Black / Pink,,
catrine-demew,Catrine DeMew,Female,Werecat,,Scaris: City of Fright,7,No,Purple,,
catty-noir,Catty Noir,Female,Werecat,,Music video,7,No,Pink,,
clawd-wolf,Clawd Wolf,Male,Werewolf,,Webisodes,7,Yes,Brown,,
finnegan-wake,Finnegan Wake,Male,Mermaid,,Webisodes,1,No,Blue,,
gigi-grant,Gigi Grant,Female,Genie,,13 wishes,6,Yes,Pink / Yellow,,
gilda-goldstag,Gilda Goldstag,Female,Deer,,Webisodes,1,Yes,Pink,,
gillington-webber,Gillington Webber,Male,River Monster,,Webisodes,5,No,Blue,,
gooliope-jellington,Gooliope Jellington,Female,Blob Monster,,Webisodes,1,No,Yellow / Pink,,
gory-fangtell,Gory Fangtell,Female,Vampire,,Webisodes,0,No,Black / Purple,,
heath-burns,Heath Burns,Male,Fire Elemental,,Webisodes,2,No,Red,,
holt-hyde,Holt Hyde,Male,Hyde-condition / Fire Elemental,,Webisodes,2,Yes,Red,,
hoodude-voodoo,Hoodude Voodoo,Male,Voodoo doll,,Webisodes,1,No,Blue,,
howleen-wolf,Howleen Wolf,Female,Werewolf,,Webisodes,8,Yes,Orange,,
invisi-billy,Invisi Billy,Male,Invisible,,Webisodes,2,No,Blue,,
iris-clops,Iris Clops,Female,Cyclops,,Webisodes,2,No,Green,,
isi-dawndancer,Isi Dawndancer,Female,Deer,,Webisodes,1,No,Blue,,
jackson-jekyll,Jackson Jekyll,Male,Human / Fire Elemental,,Webisodes,4,Yes,Black / Yellow,,
jane-boolittle,Jane Boolittle,Female,Jungle Monster,,Webisodes,3,Yes,Black / Pink,,
jinafire-long,Jinafire Long,Female,Dragon,,Scaris: City of Fright,8,No,Green / Black,,
johnny-spirit,Johnny Spirit,Male,Ghost,,Webisodes,0,No,Black / Blue,,
kala-merri,Kala Mer'ri,Female,Kraken,,Great Scarrier Reef,1,No,Blue / Orange,,
kieran-valentine,Kieran Valentine,Male,Emotional vampire,,Why Do Ghouls Fall in Love?,2,No,Black / Red,,
kjersti-trollsøn,Kjersti Trollsøn,Female,Troll,,Webisodes,1,No,Pink / Blue,,
lorna-mcnessie,Lorna McNessie,Female,Loch Ness Monster,,Webisodes,1,No,Orange,,
manny-taur,Manny Taur,Male,Minotaur,,Webisodes,1,No,Yellow,,
marisol-coxi,Marisol Coxi,Female,Bigfoot,,Webisodes,1,No,Pink / Green,,
meowlody,Meowlody,Female,Werecat,,Webisodes,5,No,White / Black,,
